id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15484924,Basement room near Midway Airport,99925981,Cilmar,,Archer Heights,41.80359,-87.72147,Private room,54,2,488,01-06-2025,4.62,1,59,10,R17000014937
15496152,Secret Garden @ The Noble Farmhouse | Wicker Park,45828803,Heather,,West Town,41.90085,-87.66334,Entire home/apt,138,2,346,12-06-2025,3.3,2,117,32,R18000035519
15500042,Tropical Bungalow Getaway in Quiet Neighborhood,24736657,Richard,,Portage Park,41.95675,-87.75263,Entire home/apt,84,2,100,07-06-2025,1.05,1,195,18,R17000017804
15508656,Family Friendly Triplex a Short Walk from Wrigley,5140484,Mike,,Lake View,41.94234,-87.66306,Entire home/apt,,3,60,30-11-2024,0.57,1,0,2,R18000034102
15549085,Wrigleyville/Boystown/Entire Private Floor!,100072753,Steve,,Lake View,41.95236,-87.65277,Entire home/apt,125,2,255,16-06-2025,2.58,1,284,36,R17000013807
15578702,"2 Bedroom Apt Hot Logan Square by Blueline Train,",44041158,William George,,Logan Square,41.92801,-87.71453,Entire home/apt,,60,5,31-07-2024,0.07,1,267,1,
15597127,【302】中文电话312823-6114 or English312451-7177,60390549,Calvin,,Armour Square,41.84746,-87.63295,Private room,132,32,179,15-10-2024,1.7,6,270,5,
15599810,Can't Beat This 2min Walk to Wrigley!,55035816,Kimberly,,Lake View,41.950268,-87.653448,Entire home/apt,84,2,230,15-06-2025,2.18,1,315,45,R24000117881
15643384,"Wrigleyville- Corporate, Business, Travel Nurse",4470700,Justin,,Lake View,41.95233,-87.65152,Entire home/apt,83,90,7,05-04-2025,0.07,1,250,2,R21000062552
15658650,XL Guest Suite w/Private Bath & Entrance +Desk/Gym,209564,Amitabh,,Lake View,41.94488,-87.65434,Private room,141,2,192,08-06-2025,1.83,6,47,13,R22000086910
