id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5.99996E+17,Uptown Victorian Townhouse 3 King Ensuite Bedrooms,32154297,Mark,,Uptown,29.92365646,-90.10503387,Entire home/apt,450,3,108,01-06-2025,3.19,1,168,39,"23-NSTR-18100, 23-OSTR-18026"
6.00592E+17,Merchant Lofts Unit 302,442912126,Tigran,,Central Business District,29.951141,-90.067764,Entire home/apt,75,1,89,18-03-2025,2.31,36,353,16,23-XSTR-13184
6.01672E+17,Charming 2BR Marigny Gem Near French Quarter,122848289,Kenneth,,St. Roch,29.96974,-90.0558,Entire home/apt,78,30,36,05-03-2025,1.1,2,365,9,"22-RSTR-07182, 22OSTR-09316"
6.02096E+17,THIS IS IT! Welcome to The Hidden Muse!,453634413,Rojema,,St. Claude,29.97246,-90.04132,Entire home/apt,95,30,43,11-02-2025,1.25,1,364,6,"23-NSTR-17490, 23-OSTR-15423"
6.02341E+17,Hidden Garden District Gem Steps to St Charles St.,46810034,Vickie,,Central City,29.93046,-90.08876,Entire home/apt,170,2,71,20-05-2025,1.86,1,233,21,"23-NSTR-16175, 23-OSTR-16111"
6.02821E+17,The Green Easy: Skyline View 30 Day Minimum,7857697,Alison,,Mcdonogh,29.94502,-90.05129,Entire home/apt,248,30,51,30-07-2024,1.61,1,137,4,"22-RSTR-16443, 22-OSTR-17051"
6.02832E+17,Lavish NOLA Living w/ Backyard Oasis Near CBD & FQ,174615118,Jasmine,,Central City,29.93859,-90.08658,Entire home/apt,276,2,87,26-05-2025,2.29,1,269,23,"24-NSTR-13884, 24-OSTR-19403"
6.02919E+17,Mid City Apartment Living off Canal St,14700274,Nicole,,Mid-City,29.9667833,-90.09238763,Entire home/apt,134,2,40,05-05-2025,1.42,1,270,15,"23-NSTR-16609, 23-OSTR-16632"
6.0417E+17,Cheerful private room in Historic Holy Cross,13576622,Allison,,Holy Cross,29.9526,-90.01133,Private room,81,2,51,05-05-2025,1.33,1,268,17,"24-NSTR-09609, 24-OSTR-03712"
6.04197E+17,The Duke of Magazine,20627474,Kurt,,Lower Garden District,29.93908,-90.07075,Entire home/apt,576,3,46,01-06-2025,1.48,5,272,16,"22-CSTR-16953, 24-OSTR-03291"
6.04274E+17,"Central Location: 1-BR Condo, walk to Streetcar",64365837,Mike,,Lower Garden District,29.93269,-90.07572,Entire home/apt,87,3,180,12-06-2025,4.72,63,296,52,"22-CSTR-07514, 19-OSTR-26283"
6.04386E+17,Pool Home Oasis: 3BR with Private Backyard in NOLA,64365837,Mike,,Tulane - Gravier,29.96072,-90.08891,Entire home/apt,123,3,122,12-06-2025,3.17,63,0,36,"21-CSTR-05572, 19-OSTR-26283"
6.04453E+17,Magazine street second floor apartment w/ balcony,11372242,Thiamanti,,Lower Garden District,29.93119,-90.07425,Entire home/apt,116,2,55,18-05-2025,1.51,44,68,20,"22-CSTR-21254, 24-OSTR-03681"
6.05034E+17,1 block to St Charles ave near French quarter,101652405,Russell,,Central City,29.936874,-90.079918,Entire home/apt,226,2,40,05-05-2025,1.22,14,270,9,"24-nSTR-09103, 24-OSTR-10402"
6.05761E+17,Mardi Gras Mambo House!! ⚜️ 3 Bd Mid City Home.,97467523,Crystal,,Mid-City,29.96853,-90.10552,Entire home/apt,275,2,76,01-06-2025,2.12,4,67,21,"24-NSTR-09799, 23-OSTR-18466"
6.08029E+17,Cozy Historic Home with a Contemporary Twist,95608031,Christie,,St. Claude,29.97236,-90.04888,Entire home/apt,79,2,47,15-04-2025,1.23,4,362,8,"22-CSTR-01567, 22-OSTR-01564"
